Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
1223,ERS DURONTO SPL,,nan,,,,
9231,HAPA DURONTO SPL,,nan,,,,
9232,MMCT DURONTO SPL,,nan,,,,
12213,DURONTO EXPRESS,YESVANTPUR JN,YPR,1,SWR,77.551174,13.022839
12213,DURONTO EXPRESS,GUNTAKAL JN,GTL,10,SWR,77.366611,15.17556
12213,DURONTO EXPRESS,SECUNDERABAD JN,SC,29,SWR,78.501481,17.433147
12213,DURONTO EXPRESS,BALHARSHAH,BPQ,30,SWR,79.3485858,19.8490173
12213,DURONTO EXPRESS,NAGPUR,NGP,84,SWR,79.089004,21.153567
12213,DURONTO EXPRESS,RANI KAMLAPATI,RKMP,78,SWR,77.4401,23.2216
12213,DURONTO EXPRESS,V LAKSHMIBAI JHANSI,VGLJ,87,SWR,78.5533,25.4439
12213,DURONTO EXPRESS,DELHI S ROHILLA,DEE,50,SWR,77.187106,28.662992
12214,YPR DURONTO EXP,DELHI S ROHILLA,DEE,0,SWR,77.187106,28.662992
12214,YPR DURONTO EXP,V LAKSHMIBAI JHANSI,VGLJ,4,SWR,78.5533,25.4439
12214,YPR DURONTO EXP,RANI KAMLAPATI,RKMP,23,SWR,77.4401,23.2216
12214,YPR DURONTO EXP,NAGPUR,NGP,42,SWR,79.089004,21.153567
12214,YPR DURONTO EXP,BALHARSHAH,BPQ,70,SWR,79.3485858,19.8490173
12214,YPR DURONTO EXP,SECUNDERABAD JN,SC,69,SWR,78.501481,17.433147
12214,YPR DURONTO EXP,GUNTAKAL JN,GTL,138,SWR,77.366611,15.17556
12214,YPR DURONTO EXP,YESVANTPUR JN,YPR,69,SWR,77.551174,13.022839
12219,SC DURONTO EXP,LOKMANYATILAK T,LTT,5,CR,72.891739,19.07032
12219,SC DURONTO EXP,PUNE JN,PUNE,38,CR,73.873086,18.529378
12219,SC DURONTO EXP,SOLAPUR JN,SUR,37,CR,75.893401,17.664496
12219,SC DURONTO EXP,WADI,WADI,16,CR,76.99155,17.054312
12220,DURONTO AC EXP,SECUNDERABAD JN,SC,1,CR,78.501481,17.433147
12220,DURONTO AC EXP,WADI,WADI,13,CR,76.99155,17.054312
12220,DURONTO AC EXP,SOLAPUR JN,SUR,17,CR,75.893401,17.664496
12220,DURONTO AC EXP,PUNE JN,PUNE,18,CR,73.873086,18.529378
12220,DURONTO AC EXP,LOKMANYATILAK T,LTT,12,CR,72.891739,19.07032
12221,HOWRAH DURONTO,PUNE JN,PUNE,1,CR,73.873086,18.529378
12221,HOWRAH DURONTO,DAUND CHORD LINE,DDCC,30,CR,74.5535,18.4671
12221,HOWRAH DURONTO,MANMAD JN,MMR,1,CR,74.438305,20.249887
12221,HOWRAH DURONTO,BHUSAVAL JN,BSL,12,CR,75.7886717,21.0472812
12221,HOWRAH DURONTO,NAGPUR,NGP,2,CR,79.089004,21.153567
12221,HOWRAH DURONTO,RAIPUR JN,R,0,CR,81.629328,21.256462
12221,HOWRAH DURONTO,BILASPUR JN,BSP,4,CR,82.167585,22.057473
12221,HOWRAH DURONTO,TATANAGAR JN,TATA,170,CR,86.20056,22.768954
12221,HOWRAH DURONTO,HOWRAH JN,HWH,222,CR,88.340999,22.584078
12222,HWH PUNE DURONTO,HOWRAH JN,HWH,78,CR,88.340999,22.584078
12222,HWH PUNE DURONTO,TATANAGAR JN,TATA,143,CR,86.20056,22.768954
12222,HWH PUNE DURONTO,BILASPUR JN,BSP,304,CR,82.167585,22.057473
12222,HWH PUNE DURONTO,RAIPUR JN,R,331,CR,81.629328,21.256462
12222,HWH PUNE DURONTO,NAGPUR,NGP,330,CR,79.089004,21.153567
12222,HWH PUNE DURONTO,BHUSAVAL JN,BSL,362,CR,75.7886717,21.0472812
12222,HWH PUNE DURONTO,MANMAD JN,MMR,356,CR,74.438305,20.249887
12222,HWH PUNE DURONTO,DAUND CHORD LINE,DDCC,389,CR,74.5535,18.4671
12222,HWH PUNE DURONTO,PUNE JN,PUNE,430,CR,73.873086,18.529378
12223,LTT ERS DURONTO,LOKMANYATILAK T,LTT,1,CR,72.891739,19.07032
12223,LTT ERS DURONTO,PANVEL,PNVL,16,CR,73.121756,18.990919
12223,LTT ERS DURONTO,RATNAGIRI,RN,64,CR,73.356938,17.002793
12223,LTT ERS DURONTO,MADGAON,MAO,24,CR,73.970724,15.267911
12223,LTT ERS DURONTO,MANGALORE JN,MAJN,18,CR,74.88006,12.866193
12223,LTT ERS DURONTO,KOZHIKODE,CLT,16,CR,75.780407,11.246234
12224,ERS LTT DURONTO,ERNAKULAM JN,ERS,0,CR,76.290672,9.969542
12224,ERS LTT DURONTO,KOZHIKODE,CLT,15,CR,75.780407,11.246234
12224,ERS LTT DURONTO,MANGALORE JN,MAJN,13,CR,74.88006,12.866193
12224,ERS LTT DURONTO,MADGAON,MAO,98,CR,73.970724,15.267911
12224,ERS LTT DURONTO,RATNAGIRI,RN,128,CR,73.356938,17.002793
12224,ERS LTT DURONTO,PANVEL,PNVL,87,CR,73.121756,18.990919
12224,ERS LTT DURONTO,LOKMANYATILAK T,LTT,53,CR,72.891739,19.07032
